1
3
1,51
1,3
1,7
1,56
1,12
1,60
1,13
1,17
1,64
1,18
1,22
1,68
1,23
1,27
1,72
1,28
3,8
3,13
3,18
3,23
3,28
1,51,3
1,51,7
1,51,12
1,51,13
1,51,17
1,51,18
1,51,22
1,51,23
1,51,27
1,51,28
1,3,7
1,3,56
1,3,8
1,3,12
1,3,60
1,3,13
1,3,17
1,3,64
1,3,18
1,3,22
1,3,68
1,3,23
1,3,27
1,3,72
1,3,28
1,3,32
1,3,76
1,3,33
1,3,37
1,3,80
1,3,38
1,3,42
1,3,84
1,3,43
1,3,2
1,3,52
1,3,47
1,7,12
1,7,60
1,7,17
1,7,64
1,7,18
1,7,22
1,7,68
1,7,23
1,7,27
1,7,72
1,7,28
1,7,33
1,56,12
1,56,17
1,56,64
1,56,18
1,56,22
1,56,68
1,56,23
1,56,27
1,56,72
1,56,28
1,56,33
1,12,22
1,12,68
1,12,23
1,12,27
1,12,72
1,12,28
1,12,32
1,12,76
1,12,33
1,60,22
1,60,23
1,60,27
1,60,72
1,60,28
1,60,32
1,60,33
1,13,17
1,13,64
1,13,18
1,13,22
1,13,68
1,13,23
1,13,27
1,13,72
1,13,28
1,13,32
1,13,76
1,13,33
1,13,37
1,13,80
1,13,38
1,13,43
1,13,47
1,17,32
1,17,76
1,17,33
1,17,38
1,64,32
1,64,33
1,64,38
1,18,23
1,18,27
1,18,72
1,18,28
1,18,32
1,18,76
1,18,33
1,18,38
1,18,43
1,23,28
1,23,33
1,23,38
1,28,33
3,8,13
3,8,18
3,8,23
3,8,28
3,13,23
3,13,28
3,13,33
3,18,33
