1
3
1,61
1,3
1,7
1,66
1,12
1,70
1,13
1,17
1,74
1,18
1,22
1,78
1,23
1,27
1,82
1,28
1,32
1,86
1,33
3,8
3,13
3,18
3,23
3,28
3,33
1,61,3
1,61,7
1,61,12
1,61,13
1,61,17
1,61,18
1,61,22
1,61,23
1,61,27
1,61,28
1,61,32
1,61,33
1,3,7
1,3,66
1,3,8
1,3,12
1,3,70
1,3,13
1,3,17
1,3,74
1,3,18
1,3,22
1,3,78
1,3,23
1,3,27
1,3,82
1,3,28
1,3,32
1,3,86
1,3,33
1,3,37
1,3,90
1,3,38
1,3,42
1,3,94
1,3,43
1,3,47
1,3,98
1,3,48
1,3,52
1,3,102
1,3,53
1,3,2
1,3,62
1,3,57
1,7,12
1,7,70
1,7,17
1,7,74
1,7,18
1,7,22
1,7,78
1,7,23
1,7,27
1,7,82
1,7,28
1,7,32
1,7,86
1,7,33
1,7,38
1,66,12
1,66,17
1,66,74
1,66,18
1,66,22
1,66,78
1,66,23
1,66,27
1,66,82
1,66,28
1,66,32
1,66,86
1,66,33
1,66,38
1,12,22
1,12,78
1,12,23
1,12,27
1,12,82
1,12,28
1,12,32
1,12,86
1,12,33
1,12,37
1,12,90
1,12,38
1,70,22
1,70,23
1,70,27
1,70,82
1,70,28
1,70,32
1,70,86
1,70,33
1,70,37
1,70,38
1,13,17
1,13,74
1,13,18
1,13,22
1,13,78
1,13,23
1,13,27
1,13,82
1,13,28
1,13,32
1,13,86
1,13,33
1,13,37
1,13,90
1,13,38
1,13,42
1,13,94
1,13,43
1,13,47
1,13,98
1,13,48
1,13,53
1,13,57
1,17,32
1,17,86
1,17,33
1,17,37
1,17,90
1,17,38
1,17,43
1,74,32
1,74,33
1,74,37
1,74,90
1,74,38
1,74,43
1,18,23
1,18,27
1,18,82
1,18,28
1,18,32
1,18,86
1,18,33
1,18,37
1,18,90
1,18,38
1,18,42
1,18,94
1,18,43
1,18,48
1,18,53
1,22,42
1,22,94
1,22,43
1,78,43
1,23,28
1,23,33
1,23,37
1,23,90
1,23,38
1,23,43
1,23,48
1,28,33
1,28,38
1,28,43
1,33,38
3,8,13
3,8,18
3,8,23
3,8,28
3,8,33
3,13,23
3,13,28
3,13,33
3,13,38
3,18,33
3,18,38
3,23,43
