1
3
1,36
1,3
1,7
1,41
1,12
1,45
1,13
1,17
1,49
1,18
1,23
3,8
3,13
3,18
1,36,3
1,36,7
1,36,12
1,36,13
1,36,17
1,36,18
1,36,23
1,3,7
1,3,41
1,3,8
1,3,12
1,3,45
1,3,13
1,3,17
1,3,49
1,3,18
1,3,22
1,3,53
1,3,23
1,3,27
1,3,57
1,3,28
1,3,2
1,3,37
1,3,32
1,7,12
1,7,45
1,7,17
1,7,49
1,7,18
1,7,22
1,7,53
1,7,23
1,41,12
1,41,17
1,41,49
1,41,18
1,41,22
1,41,23
1,12,22
1,12,53
1,12,23
1,12,28
1,45,22
1,45,23
1,45,28
1,13,17
1,13,49
1,13,18
1,13,22
1,13,53
1,13,23
1,13,28
1,13,32
1,18,23
1,18,28
3,8,13
3,8,18
3,8,23
3,13,23
