1
3
1,46
1,3
1,7
1,51
1,12
1,55
1,13
1,17
1,59
1,18
1,22
1,63
1,23
1,28
3,8
3,13
3,18
3,23
1,46,3
1,46,7
1,46,12
1,46,13
1,46,17
1,46,18
1,46,22
1,46,23
1,46,28
1,3,7
1,3,51
1,3,8
1,3,12
1,3,55
1,3,13
1,3,17
1,3,59
1,3,18
1,3,22
1,3,63
1,3,23
1,3,27
1,3,67
1,3,28
1,3,32
1,3,71
1,3,33
1,3,37
1,3,75
1,3,38
1,3,2
1,3,47
1,3,42
1,7,12
1,7,55
1,7,17
1,7,59
1,7,18
1,7,22
1,7,63
1,7,23
1,7,27
1,7,67
1,7,28
1,51,12
1,51,17
1,51,59
1,51,18
1,51,22
1,51,63
1,51,23
1,51,27
1,51,28
1,12,22
1,12,63
1,12,23
1,12,27
1,12,67
1,12,28
1,12,33
1,55,22
1,55,23
1,55,27
1,55,67
1,55,28
1,55,33
1,13,17
1,13,59
1,13,18
1,13,22
1,13,63
1,13,23
1,13,27
1,13,67
1,13,28
1,13,32
1,13,71
1,13,33
1,13,38
1,13,42
1,17,32
1,17,71
1,17,33
1,59,33
1,18,23
1,18,27
1,18,67
1,18,28
1,18,33
1,18,38
1,23,28
1,23,33
3,8,13
3,8,18
3,8,23
3,8,28
3,13,23
3,13,28
3,18,33
