1
2
1,2
1,3
1,4
1,9
1,10
1,11
1,12
1,31
1,32
1,33
1,38
1,39
1,57
1,58
1,59
1,64
1,65
1,66
1,83
1,84
1,89
1,106
1,111
1,131
2,4
2,10
2,12
2,19
2,24
2,26
2,58
2,65
2,72
2,77
2,78
1,2,3
1,2,4
1,2,9
1,2,10
1,2,11
1,2,12
1,2,17
1,2,18
1,2,19
1,2,24
1,2,25
1,2,26
1,2,31
1,2,32
1,2,33
1,2,38
1,2,39
1,2,44
1,2,45
1,2,46
1,2,51
1,2,52
1,2,57
1,2,58
1,2,59
1,2,64
1,2,65
1,2,66
1,2,71
1,2,72
1,2,77
1,2,78
1,2,83
1,2,84
1,2,89
1,2,94
1,2,95
1,2,100
1,2,105
1,2,106
1,2,111
1,2,116
1,2,125
1,2,126
1,2,131
1,2,136
1,3,9
1,3,10
1,3,18
1,3,19
1,3,24
1,3,25
1,3,26
1,3,31
1,3,32
1,3,33
1,3,38
1,3,39
1,3,44
1,3,45
1,3,46
1,3,51
1,3,52
1,3,71
1,3,77
1,3,83
1,3,94
1,3,95
1,3,100
1,4,9
1,4,10
1,4,11
1,4,12
1,4,19
1,4,24
1,4,25
1,4,26
1,4,31
1,4,32
1,4,33
1,4,38
1,4,39
1,4,44
1,4,45
1,4,46
1,4,51
1,4,52
1,4,57
1,4,58
1,4,59
1,4,64
1,4,65
1,4,66
1,4,71
1,4,72
1,4,77
1,4,78
1,4,83
1,4,84
1,4,89
1,4,94
1,4,95
1,4,100
1,4,106
1,4,111
1,4,116
1,4,125
1,4,126
1,4,131
1,4,136
1,9,31
1,9,32
1,9,33
1,9,57
1,9,58
1,9,59
1,9,83
1,9,84
1,9,105
1,9,106
1,9,125
1,9,126
1,10,12
1,10,24
1,10,25
1,10,26
1,10,32
1,10,33
1,10,39
1,10,44
1,10,45
1,10,46
1,10,51
1,10,52
1,10,57
1,10,58
1,10,59
1,10,64
1,10,65
1,10,66
1,10,71
1,10,72
1,10,77
1,10,78
1,10,83
1,10,84
1,10,89
1,10,94
1,10,95
1,10,100
1,10,105
1,10,106
1,10,111
1,10,116
1,10,125
1,10,126
1,10,131
1,10,136
1,11,25
1,11,26
1,11,31
1,11,32
1,11,33
1,11,38
1,11,44
1,11,45
1,11,46
1,11,51
1,11,52
1,11,71
1,11,72
1,11,83
1,11,94
1,11,95
1,12,26
1,12,31
1,12,32
1,12,33
1,12,38
1,12,39
1,12,44
1,12,45
1,12,46
1,12,51
1,12,52
1,12,57
1,12,58
1,12,59
1,12,64
1,12,65
1,12,66
1,12,71
1,12,72
1,12,77
1,12,78
1,12,83
1,12,84
1,12,89
1,12,94
1,12,95
1,12,100
1,12,106
1,12,116
1,12,126
1,12,131
1,12,136
1,31,57
1,31,58
1,31,59
1,31,64
1,31,65
1,31,66
1,31,72
1,31,77
1,31,78
1,31,105
1,31,111
1,31,125
1,31,131
1,32,38
1,32,39
1,32,51
1,32,52
1,32,57
1,32,59
1,32,64
1,32,65
1,32,66
1,32,72
1,32,77
1,32,78
1,32,89
1,32,100
1,32,105
1,32,111
1,32,116
1,32,131
1,32,136
1,33,38
1,33,39
1,33,46
1,33,51
1,33,52
1,33,57
1,33,58
1,33,59
1,33,64
1,33,65
1,33,66
1,33,71
1,33,72
1,33,77
1,33,78
1,33,83
1,33,84
1,33,89
1,33,94
1,33,95
1,33,100
1,33,111
1,33,131
1,33,136
1,38,57
1,38,58
1,38,59
1,38,71
1,38,72
1,38,78
1,38,84
1,38,95
1,38,106
1,38,126
1,38,136
1,39,52
1,39,57
1,39,58
1,39,59
1,39,64
1,39,65
1,39,66
1,39,71
1,39,72
1,39,77
1,39,78
1,39,83
1,39,84
1,39,89
1,39,94
1,39,95
1,39,100
1,39,106
1,39,126
1,57,106
1,57,111
1,58,59
1,58,65
1,58,66
1,58,71
1,58,72
1,58,77
1,58,78
1,58,84
1,58,89
1,58,95
1,58,100
1,58,111
1,58,131
1,59,65
1,59,66
1,59,72
1,59,77
1,59,78
1,59,84
1,59,89
1,59,95
1,59,100
1,59,111
1,59,131
1,64,106
1,64,111
1,65,66
1,65,77
1,65,78
1,65,84
1,65,89
1,65,95
1,65,100
1,65,106
1,65,126
1,66,78
1,66,84
1,66,89
1,66,95
1,66,100
1,66,106
1,84,89
1,84,95
1,84,100
1,89,100
2,4,10
2,4,17
2,4,19
2,4,24
2,4,26
2,4,33
2,4,39
2,4,46
2,4,52
2,4,71
2,4,77
2,4,95
2,4,100
2,10,17
2,10,19
2,10,46
2,10,58
2,10,59
2,10,71
2,10,72
2,10,84
2,10,95
2,12,19
2,12,24
2,12,26
2,12,46
2,12,52
2,12,71
2,12,72
2,12,95
2,19,39
2,19,52
2,19,58
2,19,59
2,19,65
2,19,66
2,19,77
2,19,78
2,19,89
2,19,100
2,24,58
2,24,65
2,24,66
2,26,58
2,26,65
2,26,66
2,26,89
2,26,95
2,72,89
