1
2
3
1,2
1,3
1,7
1,8
1,9
1,14
1,15
1,19
1,20
1,21
1,45
1,46
1,50
1,51
1,56
1,60
1,61
1,81
1,82
1,86
1,87
1,91
1,95
1,117
1,122
1,127
1,131
1,153
1,154
1,158
1,159
1,167
1,185
1,186
1,190
1,191
1,199
2,3
2,8
2,9
2,14
2,15
2,20
2,21
2,25
2,26
2,30
2,31
2,36
2,40
2,41
2,81
2,86
2,99
2,108
2,154
2,159
2,163
2,167
2,171
2,178
3,9
3,15
3,21
3,26
3,31
3,41
3,56
3,61
3,65
3,69
3,77
1,2,3
1,2,7
1,2,8
1,2,9
1,2,13
1,2,14
1,2,15
1,2,19
1,2,20
1,2,21
1,2,25
1,2,26
1,2,30
1,2,31
1,2,35
1,2,36
1,2,40
1,2,41
1,2,45
1,2,46
1,2,50
1,2,51
1,2,55
1,2,56
1,2,60
1,2,61
1,2,65
1,2,69
1,2,73
1,2,77
1,2,81
1,2,82
1,2,86
1,2,87
1,2,91
1,2,95
1,2,99
1,2,100
1,2,104
1,2,108
1,2,109
1,2,113
1,2,117
1,2,118
1,2,122
1,2,123
1,2,127
1,2,131
1,2,135
1,2,136
1,2,140
1,2,144
1,2,145
1,2,149
1,2,153
1,2,154
1,2,158
1,2,159
1,2,163
1,2,167
1,2,171
1,2,178
1,2,185
1,2,186
1,2,190
1,2,191
1,2,195
1,2,199
1,2,203
1,2,210
1,3,7
1,3,8
1,3,9
1,3,13
1,3,14
1,3,15
1,3,19
1,3,20
1,3,21
1,3,25
1,3,26
1,3,30
1,3,31
1,3,35
1,3,36
1,3,41
1,3,45
1,3,46
1,3,50
1,3,51
1,3,55
1,3,56
1,3,60
1,3,61
1,3,65
1,3,69
1,3,73
1,3,77
1,3,81
1,3,82
1,3,86
1,3,87
1,3,91
1,3,95
1,3,99
1,3,100
1,3,104
1,3,108
1,3,109
1,3,113
1,3,117
1,3,118
1,3,122
1,3,123
1,3,127
1,3,131
1,3,135
1,3,136
1,3,140
1,3,144
1,3,145
1,3,149
1,3,153
1,3,154
1,3,158
1,3,159
1,3,163
1,3,167
1,3,171
1,3,178
1,3,185
1,3,186
1,3,190
1,3,191
1,3,195
1,3,199
1,3,203
1,3,210
1,7,13
1,7,14
1,7,15
1,7,25
1,7,26
1,7,45
1,7,46
1,7,55
1,7,56
1,7,65
1,7,73
1,7,81
1,7,82
1,7,91
1,7,99
1,7,100
1,7,108
1,7,109
1,7,117
1,7,118
1,7,127
1,7,135
1,7,136
1,7,144
1,7,145
1,7,153
1,7,154
1,7,163
1,7,171
1,7,178
1,7,185
1,7,186
1,7,195
1,7,203
1,7,210
1,8,9
1,8,14
1,8,15
1,8,19
1,8,20
1,8,21
1,8,25
1,8,26
1,8,30
1,8,31
1,8,35
1,8,36
1,8,45
1,8,46
1,8,51
1,8,55
1,8,56
1,8,60
1,8,61
1,8,65
1,8,69
1,8,73
1,8,77
1,8,81
1,8,82
1,8,86
1,8,87
