1
2
1,2
1,12
1,13
1,32
1,36
1,37
1,58
1,63
1,64
1,86
1,102
2,3
2,7
2,8
2,17
2,23
2,28
2,50
2,68
2,81
2,82
2,98
1,2,3
1,2,7
1,2,8
1,2,12
1,2,13
1,2,17
1,2,18
1,2,22
1,2,23
1,2,27
1,2,28
1,2,32
1,2,36
1,2,37
1,2,41
1,2,42
1,2,46
1,2,50
1,2,54
1,2,58
1,2,59
1,2,63
1,2,64
1,2,68
1,2,69
1,2,73
1,2,77
1,2,81
1,2,82
1,2,86
1,2,90
1,2,94
1,2,98
1,2,102
1,12,17
1,12,18
1,12,22
1,12,23
1,12,27
1,12,28
1,12,36
1,12,37
1,12,41
1,12,42
1,12,46
1,12,50
1,12,54
1,12,58
1,12,59
1,12,63
1,12,64
1,12,68
1,12,69
1,12,73
1,12,77
1,12,81
1,12,82
1,12,86
1,12,90
1,12,94
1,12,98
1,12,102
1,13,18
1,13,22
1,13,27
1,13,41
1,13,42
1,13,50
1,13,54
1,13,68
1,13,69
1,13,77
1,13,81
1,13,82
1,13,98
1,32,36
1,32,46
1,32,54
1,32,73
1,32,81
1,36,37
1,36,41
1,36,42
1,36,58
1,36,59
1,36,63
1,36,68
1,36,69
1,36,86
1,36,90
1,36,102
1,37,42
1,37,46
1,37,50
1,37,58
1,37,59
1,37,63
1,37,68
1,37,69
1,37,77
1,37,81
1,37,82
1,37,86
1,37,90
1,37,94
1,37,98
1,37,102
1,58,59
1,58,63
1,58,68
1,58,77
1,58,81
1,58,82
1,58,86
1,58,90
1,58,94
1,58,98
1,63,68
1,63,86
1,63,90
1,64,77
1,86,90
1,86,94
1,86,98
2,3,7
2,3,12
2,3,23
2,3,36
2,3,37
2,3,46
2,3,58
2,3,63
2,3,81
2,3,86
2,3,94
2,7,17
2,7,36
2,7,37
2,7,41
2,7,42
2,7,58
2,7,59
2,7,63
2,7,68
2,7,86
2,7,90
2,8,17
2,8,37
2,8,42
2,8,58
2,8,59
2,8,63
2,8,86
2,8,90
2,17,23
2,17,28
2,17,81
2,17,82
2,23,41
2,23,42
2,23,50
2,23,58
2,23,59
2,23,68
2,23,86
2,23,90
2,23,98
2,28,42
2,28,59
2,28,63
2,28,86
2,28,90
2,50,86
